# This file should contain all the redirects in the documentation
# in the format `<old_path>,<new_path>`

# whatsnew
whatsnew,whatsnew/index
generated/pandas.DataFrame.first,../reference/api/pandas.DataFrame.first
generated/pandas.DataFrame.first_valid_index,../reference/api/pandas.DataFrame.first_valid_index
generated/pandas.DataFrame.floordiv,../reference/api/pandas.DataFrame.floordiv
generated/pandas.DataFrame.from_csv,../reference/api/pandas.DataFrame.from_csv
generated/pandas.DataFrame.from_dict,../reference/api/pandas.DataFrame.from_dict
generated/pandas.DataFrame.from_items,../reference/api/pandas.DataFrame.from_items
generated/pandas.DataFrame.from_records,../reference/api/pandas.DataFrame.from_records
generated/pandas.DataFrame.ge,../reference/api/pandas.DataFrame.ge
generated/pandas.DataFrame.get,../reference/api/pandas.DataFrame.get
generated/pandas.DataFrame.get_value,../reference/api/pandas.DataFrame.get_value
generated/pandas.DataFrame.groupby,../reference/api/pandas.DataFrame.groupby
generated/pandas.DataFrame.gt,../reference/api/pandas.DataFrame.gt
generated/pandas.DataFrame.head,../reference/api/pandas.DataFrame.head
generated/pandas.DataFrame.hist,../reference/api/pandas.DataFrame.hist
generated/pandas.DataFrame,../reference/api/pandas.DataFrame
generated/pandas.DataFrame.iat,../reference/api/pandas.DataFrame.iat
generated/pandas.DataFrame.idxmax,../reference/api/pandas.DataFrame.idxmax
generated/pandas.DataFrame.idxmin,../reference/api/pandas.DataFrame.idxmin
generated/pandas.DataFrame.iloc,../reference/api/pandas.DataFrame.iloc
generated/pandas.DataFrame.index,../reference/api/pandas.DataFrame.index
generated/pandas.DataFrame.infer_objects,../reference/api/pandas.DataFrame.infer_objects
generated/pandas.DataFrame.info,../reference/api/pandas.DataFrame.info
generated/pandas.DataFrame.insert,../reference/api/pandas.DataFrame.insert
generated/pandas.DataFrame.interpolate,../reference/api/pandas.DataFrame.interpolate
generated/pandas.DataFrame.is_copy,../reference/api/pandas.DataFrame.is_copy
generated/pandas.DataFrame.isin,../reference/api/pandas.DataFrame.isin
generated/pandas.DataFrame.isna,../reference/api/pandas.DataFrame.isna
generated/pandas.DataFrame.isnull,../reference/api/pandas.DataFrame.isnull
generated/pandas.DataFrame.items,../reference/api/pandas.DataFrame.items
generated/pandas.DataFrame.__iter__,../reference/api/pandas.DataFrame.__iter__
generated/pandas.DataFrame.iteritems,../reference/api/pandas.DataFrame.iteritems
generated/pandas.DataFrame.iterrows,../reference/api/pandas.DataFrame.iterrows
generated/pandas.DataFrame.itertuples,../reference/api/pandas.DataFrame.itertuples
generated/pandas.DataFrame.ix,../reference/api/pandas.DataFrame.ix
generated/pandas.DataFrame.join,../reference/api/pandas.DataFrame.join
generated/pandas.DataFrame.keys,../reference/api/pandas.DataFrame.keys
generated/pandas.DataFrame.kurt,../reference/api/pandas.DataFrame.kurt
generated/pandas.DataFrame.kurtosis,../reference/api/pandas.DataFrame.kurtosis
generated/pandas.DataFrame.last,../reference/api/pandas.DataFrame.last
generated/pandas.DataFrame.last_valid_index,../reference/api/pandas.DataFrame.last_valid_index
generated/pandas.DataFrame.le,../reference/api/pandas.DataFrame.le
generated/pandas.DataFrame.loc,../reference/api/pandas.DataFrame.loc
generated/pandas.DataFrame.lookup,../reference/api/pandas.DataFrame.lookup
generated/pandas.DataFrame.lt,../reference/api/pandas.DataFrame.lt
generated/pandas.DataFrame.mad,../reference/api/pandas.DataFrame.mad
generated/pandas.DataFrame.mask,../reference/api/pandas.DataFrame.mask
generated/pandas.DataFrame.max,../reference/api/pandas.DataFrame.max
generated/pandas.DataFrame.mean,../reference/api/pandas.DataFrame.mean
generated/pandas.DataFrame.median,../reference/api/pandas.DataFrame.median
generated/pandas.DataFrame.melt,../reference/api/pandas.DataFrame.melt
generated/pandas.DataFrame.memory_usage,../reference/api/pandas.DataFrame.memory_usage
generated/pandas.DataFrame.merge,../reference/api/pandas.DataFrame.merge
generated/pandas.DataFrame.min,../reference/api/pandas.DataFrame.min
generated/pandas.DataFrame.mode,../reference/api/pandas.DataFrame.mode
generated/pandas.DataFrame.mod,../reference/api/pandas.DataFrame.mod
generated/pandas.DataFrame.mul,../reference/api/pandas.DataFrame.mul
generated/pandas.DataFrame.multiply,../reference/api/pandas.DataFrame.multiply
generated/pandas.DataFrame.ndim,../reference/api/pandas.DataFrame.ndim
generated/pandas.DataFrame.ne,../reference/api/pandas.DataFrame.ne
generated/pandas.DataFrame.nlargest,../reference/api/pandas.DataFrame.nlargest
generated/pandas.DataFrame.notna,../reference/api/pandas.DataFrame.notna
generated/pandas.DataFrame.notnull,../reference/api/pandas.DataFrame.notnull
generated/pandas.DataFrame.nsmallest,../reference/api/pandas.DataFrame.nsmallest
generated/pandas.DataFrame.nunique,../reference/api/pandas.DataFrame.nunique
generated/pandas.DataFrame.pct_change,../reference/api/pandas.DataFrame.pct_change
generated/pandas.DataFrame.pipe,../reference/api/pandas.DataFrame.pipe
generated/pandas.DataFrame.pivot,../reference/api/pandas.DataFrame.pivot
generated/pandas.DataFrame.pivot_table,../reference/api/pandas.DataFrame.pivot_table
generated/pandas.DataFrame.plot.barh,../reference/api/pandas.DataFrame.plot.barh
generated/pandas.DataFrame.plot.bar,../reference/api/pandas.DataFrame.plot.bar
generated/pandas.DataFrame.plot.box,../reference/api/pandas.DataFrame.plot.box
generated/pandas.DataFrame.plot.density,../reference/api/pandas.DataFrame.plot.density
generated/pandas.DataFrame.plot.hexbin,../reference/api/pandas.DataFrame.plot.hexbin
generated/pandas.DataFrame.plot.hist,../reference/api/pandas.DataFrame.plot.hist
generated/pandas.DataFrame.plot,../reference/api/pandas.DataFrame.plot
generated/pandas.DataFrame.plot.kde,../reference/api/pandas.DataFrame.plot.kde
generated/pandas.DataFrame.plot.line,../reference/api/pandas.DataFrame.plot.line
generated/pandas.DataFrame.plot.pie,../reference/api/pandas.DataFrame.plot.pie
generated/pandas.DataFrame.plot.scatter,../reference/api/pandas.DataFrame.plot.scatter
generated/pandas.DataFrame.pop,../reference/api/pandas.DataFrame.pop
generated/pandas.DataFrame.pow,../reference/api/pandas.DataFrame.pow
generated/pandas.DataFrame.prod,../reference/api/pandas.DataFrame.prod
generated/pandas.DataFrame.product,../reference/api/pandas.DataFrame.product
generated/pandas.DataFrame.quantile,../reference/api/pandas.DataFrame.quantile
generated/pandas.DataFrame.query,../reference/api/pandas.DataFrame.query
generated/pandas.DataFrame.radd,../reference/api/pandas.DataFrame.radd
generated/pandas.DataFrame.rank,../reference/api/pandas.DataFrame.rank
generated/pandas.DataFrame.rdiv,../reference/api/pandas.DataFrame.rdiv
generated/pandas.DataFrame.reindex_axis,../reference/api/pandas.DataFrame.reindex_axis
generated/pandas.DataFrame.reindex,../reference/api/pandas.DataFrame.reindex
generated/pandas.DataFrame.reindex_like,../reference/api/pandas.DataFrame.reindex_like
generated/pandas.DataFrame.rename_axis,../reference/api/pandas.DataFrame.rename_axis
generated/pandas.DataFrame.rename,../reference/api/pandas.DataFrame.rename
generated/pandas.DataFrame.reorder_levels,../reference/api/pandas.DataFrame.reorder_levels
generated/pandas.DataFrame.replace,../reference/api/pandas.DataFrame.replace
generated/pandas.DataFrame.resample,../reference/api/pandas.DataFrame.resample
generated/pandas.DataFrame.reset_index,../reference/api/pandas.DataFrame.reset_index
generated/pandas.DataFrame.rfloordiv,../reference/api/pandas.DataFrame.rfloordiv
generated/pandas.DataFrame.rmod,../reference/api/pandas.DataFrame.rmod
generated/pandas.DataFrame.rmul,../reference/api/pandas.DataFrame.rmul
generated/pandas.DataFrame.rolling,../reference/api/pandas.DataFrame.rolling
generated/pandas.DataFrame.round,../reference/api/pandas.DataFrame.round
generated/pandas.DataFrame.rpow,../reference/api/pandas.DataFrame.rpow
generated/pandas.DataFrame.rsub,../reference/api/pandas.DataFrame.rsub
generated/pandas.DataFrame.rtruediv,../reference/api/pandas.DataFrame.rtruediv
generated/pandas.DataFrame.sample,../reference/api/pandas.DataFrame.sample
generated/pandas.DataFrame.select_dtypes,../reference/api/pandas.DataFrame.select_dtypes
generated/pandas.DataFrame.select,../reference/api/pandas.DataFrame.select
generated/pandas.DataFrame.sem,../reference/api/pandas.DataFrame.sem
generated/pandas.DataFrame.set_axis,../reference/api/pandas.DataFrame.set_axis
generated/pandas.DataFrame.set_index,../reference/api/pandas.DataFrame.set_index
generated/pandas.DataFrame.set_value,../reference/api/pandas.DataFrame.set_value
generated/pandas.DataFrame.shape,../reference/api/pandas.DataFrame.shape
generated/pandas.DataFrame.shift,../reference/api/pandas.DataFrame.shift
generated/pandas.DataFrame.size,../reference/api/pandas.DataFrame.size
generated/pandas.DataFrame.skew,../reference/api/pandas.DataFrame.skew
generated/pandas.DataFrame.slice_shift,../reference/api/pandas.DataFrame.slice_shift
generated/pandas.DataFrame.sort_index,../reference/api/pandas.DataFrame.sort_index
generated/pandas.DataFrame.sort_values,../reference/api/pandas.DataFrame.sort_values
generated/pandas.DataFrame.squeeze,../reference/api/pandas.DataFrame.squeeze
generated/pandas.DataFrame.stack,../reference/api/pandas.DataFrame.stack
generated/pandas.DataFrame.std,../reference/api/pandas.DataFrame.std
generated/pandas.DataFrame.style,../reference/api/pandas.DataFrame.style
generated/pandas.DataFrame.sub,../reference/api/pandas.DataFrame.sub
generated/pandas.DataFrame.subtract,../reference/api/pandas.DataFrame.subtract
generated/pandas.DataFrame.sum,../reference/api/pandas.DataFrame.sum
generated/pandas.DataFrame.swapaxes,../reference/api/pandas.DataFrame.swapaxes
generated/pandas.DataFrame.swaplevel,../reference/api/pandas.DataFrame.swaplevel
generated/pandas.DataFrame.tail,../reference/api/pandas.DataFrame.tail
generated/pandas.DataFrame.take,../reference/api/pandas.DataFrame.take
generated/pandas.DataFrame.T,../reference/api/pandas.DataFrame.T
generated/pandas.DataFrame.timetuple,../reference/api/pandas.DataFrame.timetuple
generated/pandas.DataFrame.to_clipboard,../reference/api/pandas.DataFrame.to_clipboard
generated/pandas.DataFrame.to_csv,../reference/api/pandas.DataFrame.to_csv
generated/pandas.DataFrame.to_dict,../reference/api/pandas.DataFrame.to_dict
generated/pandas.DataFrame.to_excel,../reference/api/pandas.DataFrame.to_excel
generated/pandas.DataFrame.to_feather,../reference/api/pandas.DataFrame.to_feather
generated/pandas.DataFrame.to_gbq,../reference/api/pandas.DataFrame.to_gbq
generated/pandas.DataFrame.to_hdf,../reference/api/pandas.DataFrame.to_hdf
generated/pandas.DataFrame.to,../reference/api/pandas.DataFrame.to
generated/pandas.DataFrame.to_json,../reference/api/pandas.DataFrame.to_json
generated/pandas.DataFrame.to_latex,../reference/api/pandas.DataFrame.to_latex
generated/pandas.DataFrame.to_numpy,../reference/api/pandas.DataFrame.to_numpy
generated/pandas.DataFrame.to_panel,../reference/api/pandas.DataFrame.to_panel
generated/pandas.DataFrame.to_parquet,../reference/api/pandas.DataFrame.to_parquet
generated/pandas.DataFrame.to_period,../reference/api/pandas.DataFrame.to_period
generated/pandas.DataFrame.to_pickle,../reference/api/pandas.DataFrame.to_pickle
generated/pandas.DataFrame.to_records,../reference/api/pandas.DataFrame.to_records
generated/pandas.DataFrame.to_sql,../reference/api/pandas.DataFrame.to_sql
generated/pandas.DataFrame.to_stata,../reference/api/pandas.DataFrame.to_stata
generated/pandas.DataFrame.to_string,../reference/api/pandas.DataFrame.to_string
generated/pandas.DataFrame.to_timestamp,../reference/api/pandas.DataFrame.to_timestamp
generated/pandas.DataFrame.to_xarray,../reference/api/pandas.DataFrame.to_xarray
generated/pandas.DataFrame.transform,../reference/api/pandas.DataFrame.transform
generated/pandas.DataFrame.transpose,../reference/api/pandas.DataFrame.transpose
generated/pandas.DataFrame.truediv,../reference/api/pandas.DataFrame.truediv
generated/pandas.DataFrame.truncate,../reference/api/pandas.DataFrame.truncate
generated/pandas.DataFrame.tshift,../reference/api/pandas.DataFrame.tshift
generated/pandas.DataFrame.tz_convert,../reference/api/pandas.DataFrame.tz_convert
generated/pandas.DataFrame.tz_localize,../reference/api/pandas.DataFrame.tz_localize
generated/pandas.DataFrame.unstack,../reference/api/pandas.DataFrame.unstack
generated/pandas.DataFrame.update,../reference/api/pandas.DataFrame.update
generated/pandas.DataFrame.values,../reference/api/pandas.DataFrame.values
generated/pandas.DataFrame.var,../reference/api/pandas.DataFrame.var
generated/pandas.DataFrame.where,../reference/api/pandas.DataFrame.where
generated/pandas.DataFrame.xs,../reference/api/pandas.DataFrame.xs
generated/pandas.date_range,../reference/api/pandas.date_range
generated/pandas.DatetimeIndex.ceil,../reference/api/pandas.DatetimeIndex.ceil
generated/pandas.DatetimeIndex.date,../reference/api/pandas.DatetimeIndex.date
generated/pandas.DatetimeIndex.day,../reference/api/pandas.DatetimeIndex.day
generated/pandas.DatetimeIndex.day_name,../reference/api/pandas.DatetimeIndex.day_name
generated/pandas.DatetimeIndex.dayofweek,../reference/api/pandas.DatetimeIndex.dayofweek
generated/pandas.DatetimeIndex.dayofyear,../reference/api/pandas.DatetimeIndex.dayofyear
generated/pandas.DatetimeIndex.floor,../reference/api/pandas.DatetimeIndex.floor
generated/pandas.DatetimeIndex.freq,../reference/api/pandas.DatetimeIndex.freq
generated/pandas.DatetimeIndex.freqstr,../reference/api/pandas.DatetimeIndex.freqstr
generated/pandas.DatetimeIndex.hour,../reference/api/pandas.DatetimeIndex.hour
generated/pandas.DatetimeIndex,../reference/api/pandas.DatetimeIndex
generated/pandas.DatetimeIndex.indexer_at_time,../reference/api/pandas.DatetimeIndex.indexer_at_time
generated/pandas.DatetimeIndex.indexer_between_time,../reference/api/pandas.DatetimeIndex.indexer_between_time
generated/pandas.DatetimeIndex.inferred_freq,../reference/api/pandas.DatetimeIndex.inferred_freq
generated/pandas.DatetimeIndex.is_leap_year,../reference/api/pandas.DatetimeIndex.is_leap_year
generated/pandas.DatetimeIndex.is_month_end,../reference/api/pandas.DatetimeIndex.is_month_end
generated/pandas.DatetimeIndex.is_month_start,../reference/api/pandas.DatetimeIndex.is_month_start
generated/pandas.DatetimeIndex.is_quarter_end,../reference/api/pandas.DatetimeIndex.is_quarter_end
generated/pandas.DatetimeIndex.is_quarter_start,../reference/api/pandas.DatetimeIndex.is_quarter_start
generated/pandas.DatetimeIndex.is_year_end,../reference/api/pandas.DatetimeIndex.is_year_end
generated/pandas.DatetimeIndex.is_year_start,../reference/api/pandas.DatetimeIndex.is_year_start
generated/pandas.DatetimeIndex.microsecond,../reference/api/pandas.DatetimeIndex.microsecond
generated/pandas.DatetimeIndex.minute,../reference/api/pandas.DatetimeIndex.minute
generated/pandas.DatetimeIndex.month,../reference/api/pandas.DatetimeIndex.month
generated/pandas.DatetimeIndex.month_name,../reference/api/pandas.DatetimeIndex.month_name
generated/pandas.DatetimeIndex.nanosecond,../reference/api/pandas.DatetimeIndex.nanosecond
generated/pandas.DatetimeIndex.normalize,../reference/api/pandas.DatetimeIndex.normalize
generated/pandas.DatetimeIndex.quarter,../reference/api/pandas.DatetimeIndex.quarter
generated/pandas.DatetimeIndex.round,../reference/api/pandas.DatetimeIndex.round
generated/pandas.DatetimeIndex.second,../reference/api/pandas.DatetimeIndex.second
generated/pandas.DatetimeIndex.snap,../reference/api/pandas.DatetimeIndex.snap
generated/pandas.DatetimeIndex.strftime,../reference/api/pandas.DatetimeIndex.strftime
generated/pandas.DatetimeIndex.time,../reference/api/pandas.DatetimeIndex.time
generated/pandas.DatetimeIndex.timetz,../reference/api/pandas.DatetimeIndex.timetz
generated/pandas.DatetimeIndex.to_frame,../reference/api/pandas.DatetimeIndex.to_frame
generated/pandas.DatetimeIndex.to_perioddelta,../reference/api/pandas.DatetimeIndex.to_perioddelta
generated/pandas.DatetimeIndex.to_period,../reference/api/pandas.DatetimeIndex.to_period
generated/pandas.DatetimeIndex.to_pydatetime,../reference/api/pandas.DatetimeIndex.to_pydatetime
generated/pandas.DatetimeIndex.to_series,../reference/api/pandas.DatetimeIndex.to_series
generated/pandas.DatetimeIndex.tz_convert,../reference/api/pandas.DatetimeIndex.tz_convert
generated/pandas.DatetimeIndex.tz,../reference/api/pandas.DatetimeIndex.tz
generated/pandas.DatetimeIndex.tz_localize,../reference/api/pandas.DatetimeIndex.tz_localize
generated/pandas.DatetimeIndex.weekday,../reference/api/pandas.DatetimeIndex.weekday
generated/pandas.DatetimeIndex.week,../reference/api/pandas.DatetimeIndex.week
generated/pandas.DatetimeIndex.weekofyear,../reference/api/pandas.DatetimeIndex.weekofyear
generated/pandas.DatetimeIndex.year,../reference/api/pandas.DatetimeIndex.year
generated/pandas.DatetimeTZDtype.base,../reference/api/pandas.DatetimeTZDtype.base
generated/pandas.DatetimeTZDtype.construct_array_type,../reference/api/pandas.DatetimeTZDtype.construct_array_type
generated/pandas.DatetimeTZDtype.construct_from_string,../reference/api/pandas.DatetimeTZDtype.construct_from_string
generated/pandas.DatetimeTZDtype,../reference/api/pandas.DatetimeTZDtype
generated/pandas.DatetimeTZDtype.isbuiltin,../reference/api/pandas.DatetimeTZDtype.isbuiltin
generated/pandas.DatetimeTZDtype.is_dtype,../reference/api/pandas.DatetimeTZDtype.is_dtype
generated/pandas.DatetimeTZDtype.isnative,../reference/api/pandas.DatetimeTZDtype.isnative
generated/pandas.DatetimeTZDtype.itemsize,../reference/api/pandas.DatetimeTZDtype.itemsize
generated/pandas.DatetimeTZDtype.kind,../reference/api/pandas.DatetimeTZDtype.kind
generated/pandas.DatetimeTZDtype.name,../reference/api/pandas.DatetimeTZDtype.name
generated/pandas.DatetimeTZDtype.names,../reference/api/pandas.DatetimeTZDtype.names
generated/pandas.DatetimeTZDtype.na_value,../reference/api/pandas.DatetimeTZDtype.na_value
generated/pandas.DatetimeTZDtype.num,../reference/api/pandas.DatetimeTZDtype.num
generated/pandas.DatetimeTZDtype.reset_cache,../reference/api/pandas.DatetimeTZDtype.reset_cache
generated/pandas.DatetimeTZDtype.shape,../reference/api/pandas.DatetimeTZDtype.shape
generated/pandas.DatetimeTZDtype.str,../reference/api/pandas.DatetimeTZDtype.str
generated/pandas.DatetimeTZDtype.subdtype,../reference/api/pandas.DatetimeTZDtype.subdtype
generated/pandas.DatetimeTZDtype.tz,../reference/api/pandas.DatetimeTZDtype.tz
generated/pandas.DatetimeTZDtype.unit,../reference/api/pandas.DatetimeTZDtype.unit
generated/pandas.describe_option,../reference/api/pandas.describe_option
generated/pandas.errors.DtypeWarning,../reference/api/pandas.errors.DtypeWarning
generated/pandas.errors.EmptyDataError,../reference/api/pandas.errors.EmptyDataError
generated/pandas.errors.OutOfBoundsDatetime,../reference/api/pandas.errors.OutOfBoundsDatetime
generated/pandas.errors.ParserError,../reference/api/pandas.errors.ParserError
generated/pandas.errors.ParserWarning,../reference/api/pandas.errors.ParserWarning
generated/pandas.errors.PerformanceWarning,../reference/api/pandas.errors.PerformanceWarning
generated/pandas.errors.UnsortedIndexError,../reference/api/pandas.errors.UnsortedIndexError
generated/pandas.errors.UnsupportedFunctionCall,../reference/api/pandas.errors.UnsupportedFunctionCall
generated/pandas.eval,../reference/api/pandas.eval
generated/pandas.ExcelFile.parse,../reference/api/pandas.ExcelFile.parse
generated/pandas.ExcelWriter,../reference/api/pandas.ExcelWriter
generated/pandas.factorize,../reference/api/pandas.factorize
generated/pandas.Float64Index,../reference/api/pandas.Float64Index
generated/pandas.get_dummies,../reference/api/pandas.get_dummies
generated/pandas.get_option,../reference/api/pandas.get_option
generated/pandas.Grouper,../reference/api/pandas.Grouper
generated/pandas.HDFStore.append,../reference/api/pandas.HDFStore.append
generated/pandas.HDFStore.get,../reference/api/pandas.HDFStore.get
generated/pandas.HDFStore.groups,../reference/api/pandas.HDFStore.groups
generated/pandas.HDFStore.info,../reference/api/pandas.HDFStore.info
generated/pandas.HDFStore.keys,../reference/api/pandas.HDFStore.keys
generated/pandas.HDFStore.put,../reference/api/pandas.HDFStore.put
generated/pandas.HDFStore.select,../reference/api/pandas.HDFStore.select
generated/pandas.HDFStore.walk,../reference/api/pandas.HDFStore.walk
generated/pandas.Index.all,../reference/api/pandas.Index.all
generated/pandas.Index.any,../reference/api/pandas.Index.any
generated/pandas.Index.append,../reference/api/pandas.Index.append
generated/pandas.Index.argmax,../reference/api/pandas.Index.argmax
generated/pandas.Index.argmin,../reference/api/pandas.Index.argmin
generated/pandas.Index.argsort,../reference/api/pandas.Index.argsort
generated/pandas.Index.array,../reference/api/pandas.Index.array
generated/pandas.Index.asi8,../reference/api/pandas.Index.asi8
generated/pandas.Index.asof,../reference/api/pandas.Index.asof
generated/pandas.Index.asof_locs,../reference/api/pandas.Index.asof_locs
generated/pandas.Index.astype,../reference/api/pandas.Index.astype
generated/pandas.Index.copy,../reference/api/pandas.Index.copy
generated/pandas.Index.data,../reference/api/pandas.Index.data
generated/pandas.Index.delete,../reference/api/pandas.Index.delete
generated/pandas.Index.difference,../reference/api/pandas.Index.difference
generated/pandas.Index.drop_duplicates,../reference/api/pandas.Index.drop_duplicates
generated/pandas.Index.drop,../reference/api/pandas.Index.drop
generated/pandas.Index.droplevel,../reference/api/pandas.Index.droplevel
generated/pandas.Index.dropna,../reference/api/pandas.Index.dropna
generated/pandas.Index.dtype,../reference/api/pandas.Index.dtype
generated/pandas.Index.duplicated,../reference/api/pandas.Index.duplicated
generated/pandas.Index.empty,../reference/api/pandas.Index.empty
generated/pandas.Index.equals,../reference/api/pandas.Index.equals
generated/pandas.Index.factorize,../reference/api/pandas.Index.factorize
generated/pandas.Index.fillna,../reference/api/pandas.Index.fillna
generated/pandas.Index.format,../reference/api/pandas.Index.format
generated/pandas.Index.get_indexer_for,../reference/api/pandas.Index.get_indexer_for
generated/pandas.Index.get_indexer,../reference/api/pandas.Index.get_indexer
generated/pandas.Index.get_indexer_non_unique,../reference/api/pandas.Index.get_indexer_non_unique
generated/pandas.Index.get_level_values,../reference/api/pandas.Index.get_level_values
generated/pandas.Index.get_loc,../reference/api/pandas.Index.get_loc
generated/pandas.Index.get_slice_bound,../reference/api/pandas.Index.get_slice_bound
generated/pandas.Index.get_value,../reference/api/pandas.Index.get_value
generated/pandas.Index.groupby,../reference/api/pandas.Index.groupby
generated/pandas.Index.has_duplicates,../reference/api/pandas.Index.has_duplicates
generated/pandas.Index.hasnans,../reference/api/pandas.Index.hasnans
generated/pandas.Index.holds_integer,../reference/api/pandas.Index.holds_integer
generated/pandas.Index,../reference/api/pandas.Index
generated/pandas.Index.identical,../reference/api/pandas.Index.identical
generated/pandas.Index.inferred_type,../reference/api/pandas.Index.inferred_type
generated/pandas.Index.insert,../reference/api/pandas.Index.insert
generated/pandas.Index.intersection,../reference/api/pandas.Index.intersection
generated/pandas.Index.is_all_dates,../reference/api/pandas.Index.is_all_dates
generated/pandas.Index.is_boolean,../reference/api/pandas.Index.is_boolean
generated/pandas.Index.is_categorical,../reference/api/pandas.Index.is_categorical
generated/pandas.Index.is_floating,../reference/api/pandas.Index.is_floating
generated/pandas.Index.is_,../reference/api/pandas.Index.is_
generated/pandas.Index.isin,../reference/api/pandas.Index.isin
generated/pandas.Index.is_integer,../reference/api/pandas.Index.is_integer
generated/pandas.Index.is_interval,../reference/api/pandas.Index.is_interval
generated/pandas.Index.is_lexsorted_for_tuple,../reference/api/pandas.Index.is_lexsorted_for_tuple
generated/pandas.Index.is_mixed,../reference/api/pandas.Index.is_mixed
generated/pandas.Index.is_monotonic_decreasing,../reference/api/pandas.Index.is_monotonic_decreasing
generated/pandas.Index.is_monotonic,../reference/api/pandas.Index.is_monotonic
generated/pandas.Index.is_monotonic_increasing,../reference/api/pandas.Index.is_monotonic_increasing
generated/pandas.Index.isna,../reference/api/pandas.Index.isna
generated/pandas.Index.isnull,../reference/api/pandas.Index.isnull
generated/pandas.Index.is_numeric,../reference/api/pandas.Index.is_numeric
generated/pandas.Index.is_object,../reference/api/pandas.Index.is_object
generated/pandas.Index.is_type_compatible,../reference/api/pandas.Index.is_type_compatible
generated/pandas.Index.is_unique,../reference/api/pandas.Index.is_unique
generated/pandas.Index.item,../reference/api/pandas.Index.item
generated/pandas.Index.join,../reference/api/pandas.Index.join
generated/pandas.Index.map,../reference/api/pandas.Index.map
generated/pandas.Index.max,../reference/api/pandas.Index.max
generated/pandas.Index.memory_usage,../reference/api/pandas.Index.memory_usage
generated/pandas.Index.min,../reference/api/pandas.Index.min
generated/pandas.Index.name,../reference/api/pandas.Index.name
generated/pandas.Index.names,../reference/api/pandas.Index.names
generated/pandas.Index.nbytes,../reference/api/pandas.Index.nbytes
generated/pandas.Index.ndim,../reference/api/pandas.Index.ndim
generated/pandas.Index.nlevels,../reference/api/pandas.Index.nlevels
generated/pandas.Index.notna,../reference/api/pandas.Index.notna
generated/pandas.Index.notnull,../reference/api/pandas.Index.notnull
generated/pandas.Index.nunique,../reference/api/pandas.Index.nunique
generated/pandas.Index.putmask,../reference/api/pandas.Index.putmask
generated/pandas.Index.ravel,../reference/api/pandas.Index.ravel
generated/pandas.Index.reindex,../reference/api/pandas.Index.reindex
generated/pandas.Index.rename,../reference/api/pandas.Index.rename
generated/pandas.Index.repeat,../reference/api/pandas.Index.repeat
generated/pandas.Index.searchsorted,../reference/api/pandas.Index.searchsorted
generated/pandas.Index.set_names,../reference/api/pandas.Index.set_names
generated/pandas.Index.set_value,../reference/api/pandas.Index.set_value
generated/pandas.Index.shape,../reference/api/pandas.Index.shape
generated/pandas.Index.shift,../reference/api/pandas.Index.shift
generated/pandas.Index.size,../reference/api/pandas.Index.size
generated/pandas.IndexSlice,../reference/api/pandas.IndexSlice
generated/pandas.Index.slice_indexer,../reference/api/pandas.Index.slice_indexer
generated/pandas.Index.slice_locs,../reference/api/pandas.Index.slice_locs
generated/pandas.Index.sort,../reference/api/pandas.Index.sort
generated/pandas.Index.sortlevel,../reference/api/pandas.Index.sortlevel
generated/pandas.Index.sort_values,../reference/api/pandas.Index.sort_values
generated/pandas.Index.str,../reference/api/pandas.Index.str
generated/pandas.Index.summary,../reference/api/pandas.Index.summary
generated/pandas.Index.symmetric_difference,../reference/api/pandas.Index.symmetric_difference
generated/pandas.Index.take,../reference/api/pandas.Index.take
generated/pandas.Index.T,../reference/api/pandas.Index.T
generated/pandas.Index.to_flat_index,../reference/api/pandas.Index.to_flat_index
generated/pandas.Index.to_frame,../reference/api/pandas.Index.to_frame
generated/pandas.Index.to_list,../reference/api/pandas.Index.to_list
generated/pandas.Index.tolist,../reference/api/pandas.Index.tolist
generated/pandas.Index.to_native_types,../reference/api/pandas.Index.to_native_types
generated/pandas.Index.to_numpy,../reference/api/pandas.Index.to_numpy
generated/pandas.Index.to_series,../reference/api/pandas.Index.to_series
generated/pandas.Index.transpose,../reference/api/pandas.Index.transpose
generated/pandas.Index.union,../reference/api/pandas.Index.union
generated/pandas.Index.unique,../reference/api/pandas.Index.unique
generated/pandas.Index.value_counts,../reference/api/pandas.Index.value_counts
generated/pandas.Index.values,../reference/api/pandas.Index.values
generated/pandas.Index.view,../reference/api/pandas.Index.view
generated/pandas.Index.where,../reference/api/pandas.Index.where
generated/pandas.infer_freq,../reference/api/pandas.infer_freq
generated/pandas.Interval.closed,../reference/api/pandas.Interval.closed
generated/pandas.Interval.closed_left,../reference/api/pandas.Interval.closed_left
generated/pandas.Interval.closed_right,../reference/api/pandas.Interval.closed_right
generated/pandas.Interval,../reference/api/pandas.Interval
generated/pandas.IntervalIndex.closed,../reference/api/pandas.IntervalIndex.closed
generated/pandas.IntervalIndex.contains,../reference/api/pandas.IntervalIndex.contains
generated/pandas.IntervalIndex.from_arrays,../reference/api/pandas.IntervalIndex.from_arrays
generated/pandas.IntervalIndex.from_breaks,../reference/api/pandas.IntervalIndex.from_breaks
generated/pandas.IntervalIndex.from_tuples,../reference/api/pandas.IntervalIndex.from_tuples
generated/pandas.IntervalIndex.get_indexer,../reference/api/pandas.IntervalIndex.get_indexer
